id,Ranking,Drzava,Ime,Starost,Turnirji
306,306,ESP,Pedro Martinez Portero,19,29
307,307,AUT,Jurgen Melzer,35,9
308,308,KOR,Soon Woo Kwon,19,21
309,309,CAN,Philip Bester,28,20
310,310,ARG,Tomas Lipovsek Puches,23,30
311,311,ITA,Alessandro Bega,25,27
312,312,ESP,Oriol Roca Batalla,23,32
313,313,ROU,Adrian Ungur,31,19
314,314,HUN,Attila Balazs,28,12
315,315,ESP,Carlos Taberner,19,27
316,316,FRA,Maxime Hamou,21,24
317,317,GER,Yannick Hanfmann,25,19
318,318,POR,Frederico Ferreira Silva,21,25
319,319,BLR,Dzmitry Zhyrmont,27,20
320,320,USA,Adam El Mihdawy,27,25
321,321,FRA,Gianni Mina,24,25
322,322,IND,Prajnesh Gunneswaran,27,15
323,323,USA,Mackenzie McDonald,21,15
324,324,GBR,Brydan Klein,27,20
325,325,FRA,Gleb Sakharov,28,24
326,326,ESP,David Perez Sanz,22,31
327,327,AUS,Max Purcell,18,13
328,328,FRA,Albano Olivetti,25,22
329,329,ITA,Stefano Travaglia,25,16
330,330,USA,Daniel Nguyen,26,18
331,331,CRO,Nikola Mektic,28,16
332,332,EST,Jurgen Zopp,28,21
333,333,FRA,Alexandre Muller,19,28
334,334,SUI,Yann Marti,28,20
335,335,JPN,Shuichi Sekiguchi,25,26
336,336,FRA,Yannick Jankovits,29,28
337,337,RUS,Roman Safiullin,19,17
338,338,ITA,Gianluca Mager,22,25
339,339,CZE,Michal Konecny,27,30
340,340,ITA,Edoardo Eremin,23,17
341,341,DEN,Mikael Torpegaard,22,9
342,342,ARG,Juan Ignacio Londero,23,24
343,343,POR,Joao Domingues,23,21
344,344,BRA,Joao Pedro Sorgi,23,23
345,345,ARG,Juan Pablo Paz,21,27
346,346,SRB,Danilo Petrovic,24,18
347,347,EGY,Karim-Mohamed Maamoun,25,26
348,348,NED,Tallon Griekspoor,20,27
349,349,USA,Evan King,24,28
350,350,FRA,Maxime Chazal,23,29
351,351,AUS,Alex De Minaur,17,19
352,352,ESP,Daniel Munoz de la Nava,34,19
353,353,TUR,Cem Ilkel,21,22
354,354,FRA,Hugo Nys,25,23
355,355,ESP,Alvaro Lopez San Martin,19,27
356,356,CZE,Marek Michalicka,30,19
357,357,ARG,Andrea Collarini,24,23
358,358,IND,Sumit Nagal,19,19
359,359,ESP,Roberto Ortega-Olmedo,25,26
360,360,ESP,Tommy Robredo,34,14
361,361,GER,Nils Langer,26,17
362,362,UKR,Vladyslav Manafov,23,24
363,363,FRA,Benjamin Bonzi,20,27
364,364,RUS,Ivan Nedelko,30,31
365,365,GER,Andreas Beck,30,18
366,366,USA,Raymond Sarmiento,24,22
367,367,AUS,Omar Jasika,19,14
368,368,UZB,Sanjar Fayziev,22,21
369,369,FRA,Gregoire Jacq,24,23
370,370,GER,Peter Torebko,28,23
371,371,GER,Marvin Netuschil,25,17
372,372,CZE,Jan Mertl,34,24
373,373,KOR,Seong-chan Hong,19,19
374,374,MAR,Lamine Ouahab,32,15
375,375,ITA,Walter Trusendi,31,21
376,376,COL,Daniel Elahi Galan,20,16
377,377,JPN,Takuto Niki,29,22
378,378,ITA,Matteo Viola,29,26
379,379,BEL,Christopher Heyman,23,20
380,380,GER,Daniel Altmaier,18,26
381,381,GBR,Lloyd Glasspool,23,18
382,382,NED,Tim Van Rijthoven,19,23
383,383,USA,Nicolas Meister,27,23
384,384,POL,Hubert Hurkacz,19,20
385,385,LAT,Mikelis Libietis,24,20
386,386,COL,Nicolas Barrientos,29,23
387,387,ESP,Pablo Vivero Gonzalez,21,24
388,388,DEN,Frederik Nielsen,33,15
389,389,COL,Alejandro Gomez,25,26
390,390,USA,Jarmere Jenkins,26,15
391,391,CZE,Jaroslav Pospisil,35,15
392,392,RUS,Evgeny Tyurnev,19,21
393,393,AUS,Dayne Kelly,26,22
394,394,AUT,Maximilian Neuchrist,25,20
395,395,ARG,Maximiliano Estevez,27,21
396,396,AUS,Maverick Banes,24,26
397,397,USA,Eric Quigley,27,22
398,398,ESP,Marc Giner,25,25
399,399,LTU,Lukas Mugevicius,22,26
400,400,CRO,Ante Pavic,27,13
401,401,USA,Alex Kuznetsov,29,13
402,402,ESP,Mario Vilella Martinez,21,23
403,403,NED,Botic Van de Zandschulp,21,15
404,404,AUT,Lucas Miedler,20,19
405,405,BEL,Julien Dubail,28,27
406,406,KOR,Cheong-Eui Kim,26,21
407,407,ARG,Facundo Mena,24,28
408,408,GBR,Alexander Ward,26,15
409,409,ISR,Edan Leshem,19,25
410,410,ESP,Bernabe Zapata Miralles,19,30
411,411,RUS,Dmitry Tursunov,34,10
412,412,JPN,Makoto Ochi,20,29
413,413,UZB,Temur Ismailov,21,23
414,414,BRA,Bruno Santanna,23,27
415,415,SRB,Miki Jankovic,22,19
416,416,SWE,Christian Lindell,25,25
417,417,IND,N.Sriram Balaji,26,27
418,418,FRA,Remi Boutillier,26,13
419,419,FRA,Enzo Couacaud,21,17
420,420,FRA,David Guez,34,22
421,421,BIH,Tomislav Brkic,26,24
422,422,FRA,Romain Jouan,31,8
423,423,JPN,Yusuke Takahashi,19,21
424,424,CHI,Bastian Malla,20,26
425,425,CZE,Jan Hernych,37,11
426,426,SVK,Filip Horansky,23,23
427,427,BUL,Alexandar Lazov,26,25
428,428,POR,Fred Gil,31,30
429,429,POL,Michal Przysiezny,32,15
430,430,TPE,Jimmy Wang,31,15
431,431,HUN,Peter Nagy,24,20
432,432,JPN,Kaichi Uchida,22,30
433,433,CAN,Brayden Schnur,21,12
434,434,ESP,Pablo Andujar,30,13
435,435,BUL,Dimitar Kuzmanov,23,19
436,436,IND,Vishnu Vardhan,29,17
437,437,ITA,Matteo Berrettini,20,8
438,438,KOR,Yong-Kyu Lim,25,13
439,439,BLR,Maxim Dubarenco,23,15
440,440,BRA,Daniel Dutra da Silva,28,15
441,441,ITA,Erik Crepaldi,26,21
442,442,ARG,Facundo Arguello,24,24
443,443,GBR,Marcus Willis,26,4
444,444,NED,Jesse Huta Galung,31,14
445,445,NED,Niels Lootsma,22,14
446,446,GBR,James Ward,29,18
447,447,GEO,Aleksandre Metreveli,23,20
448,448,INA,Christopher Rungkat,26,21
449,449,EST,Vladimir Ivanov,29,22
450,450,FRA,Tak Khunn Wang,25,21
451,451,CZE,Robin Stanek,21,23
452,452,CHN,Xin Gao,22,26
453,453,SWE,Carl Soderlund,19,14
454,454,GER,Mats Moraing,24,16
455,455,SWE,Markus Eriksson,27,20
456,456,ITA,Marco Bortolotti,25,22
457,457,ARG,Franco Agamenone,23,25
458,458,USA,Peter Kobelt,26,17
459,459,TPE,Kuan-Yi Lee,20,20
460,460,CHI,Marcelo Tomas Barrios Vera,19,21
461,461,NZL,Jose Statham,29,21
462,462,CZE,Tomas Papik,22,24
463,463,ESP,Pol Toledo Bague,22,26
464,464,ITA,Simone Bolelli,31,8
465,465,RUS,Ivan Gakhov,20,13
466,466,ARG,Hernan Casanova,22,19
467,467,USA,Dennis Nevolo,27,22
468,468,JPN,Shintaro Imai,23,24
469,469,BEL,Romain Barbosa,22,24
470,470,ESP,Andres Artunedo Martinavarro,23,28
471,471,GER,Cedrik-Marcel Stebe,26,9
472,472,AUS,Gavin Van Peperzeel,24,24
473,473,ITA,Lorenzo Frigerio,27,25
474,474,IND,Yuki Bhambri,24,14
475,475,GER,Jonas Luetjen,26,16
476,476,ARG,Juan Ignacio Galarza,22,18
477,477,AUT,Lenny Hampel,20,29
478,478,CHI,Hans Podlipnik-Castillo,28,16
479,479,FRA,Antoine Hoang,21,22
480,480,ITA,Claudio Fortuna,26,26
481,481,FRA,Corentin Denolly,19,28
482,482,ARG,Mariano Kestelboim,20,29
483,483,POR,Goncalo Oliveira,21,39
484,484,ITA,Andrea Pellegrino,19,22
485,485,CRO,Nino Serdarusic,20,29
486,486,POL,Andriej Kapas,27,19
487,487,ESP,Albert Alcaraz Ivorra,21,21
488,488,USA,Christian Harrison,22,11
489,489,ECU,Ivan Endara,28,18
490,490,SUI,Adrien Bossel,30,19
491,491,NED,Scott Griekspoor,25,20
492,492,FRA,Hugo Grenier,20,23
493,493,ARG,Pedro Cachin,21,16
494,494,NZL,Finn Tearney,26,19
495,495,GER,Matthias Bachinger,29,10
496,496,AUS,Bradley Mousley,20,24
497,497,ITA,Riccardo Bonadio,23,26
498,498,CZE,Vit Kopriva,19,27
499,499,ZIM,Takanyi Garanganga,26,29
500,500,SWE,Mikael Ymer,18,4
501,501,BEL,Niels Desein,29,14
502,502,AUS,Benjamin Mitchell,24,15
503,503,RUS,Evgeny Karlovskiy,22,21
504,504,RUS,Alexandr Igoshin,24,27
505,505,UZB,Farrukh Dustov,30,13
506,506,ECU,Gonzalo Escobar,27,19
507,507,TUR,Anil Yuksel,26,26
508,508,FRA,Antoine Escoffier,24,27
509,509,ARG,Matias Zukas,20,29
510,510,BOL,Federico Zeballos,28,22
511,511,CAN,Filip Peliwo,22,13
512,512,UKR,Denys Mylokostov,23,13
513,513,ZIM,Benjamin Lock,23,20
514,514,CZE,Dominik Kellovsky,20,22
515,515,RUS,Markos Kalovelonis,22,26
516,516,IND,Sasi Kumar Mukund,19,32
517,517,GER,Dominik Koepfer,22,11
518,518,BLR,Yaraslav Shyla,23,12
519,519,GBR,Jonny O&#39;Mara,21,18
520,520,RSA,Nicolaas Scholtz,25,18
521,521,GER,Oscar Otte,23,19
522,522,GER,Sebastian Fanselow,25,20
523,523,BEL,Omar Salman,20,28
524,524,BRA,Pedro Sakamoto,23,13
525,525,ROU,Petru-Alexandru Luncanu,27,21
526,526,TUR,Altug Celikbilek,20,27
527,527,CRO,Matija Pecotic,27,4
528,528,USA,Wil Spencer,27,17
529,529,GBR,Jay Clarke,18,18
530,530,BRA,Nicolas Santos,28,18
531,531,FRA,Laurent Rochette,28,18
532,532,ARG,Gabriel Alejandro Hidalgo,26,24
533,533,FRA,Corentin Moutet,17,16
534,534,ISR,Daniel Cukierman,21,28
535,535,ITA,Antonio Massara,21,29
536,536,SRB,Nikola Cacic,26,14
537,537,COL,Juan Sebastian Gomez,24,15
538,538,AUT,Bastian Trinker,26,24
539,539,GER,Louis Wessels,18,7
540,540,ITA,Francisco Bahamonde,20,15
541,541,SWE,Patrik Rosenholm,28,21
542,542,ARG,Gonzalo Villanueva,21,21
543,543,ESP,Jaume Pla Malfeito,21,29
544,544,BRA,Orlando Luz,18,13
545,545,NED,Lennert Van Der Linden,27,20
546,546,BRA,Marcelo Zormann,20,21
